,country,year,co2_e,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g
1732,Croatia,1994,3.49,0.0456,1880,2200,0.091,0,0.0,0.758,0.0
1733,Hungary,1994,5.98,0.427,3240,3030,0.00134,0.117,0.0,0.785,0.0
1734,Indonesia,1994,1.15,0.0254,237,239,0.00267,0,0.272,0.201,0.397
1735,India,1994,0.809,0.14,410,341,0.00752,0.00051,0.0144,0.071,0.0342
1736,Ireland,1994,9.76,0.824,4790,4350,0.0221,0,0.0,1.57,0.0
1737,Iran,1994,4.35,0.0182,1340,1170,0.0109,0,0.372,1.04,3.05
1738,Iraq,1994,3.64,0,1360,1330,0.00245,0,0.133,1.44,1.27
1739,Iceland,1994,8.92,0.203,18k,17.1k,1.47,0,0.0,2.62,0.0
1740,Israel,1994,9.31,0.741,5550,4930,0.00038,0,0.0,2.16,0.0
1741,Italy,1994,7.43,0.197,4050,4440,0.0674,0,0.289,1.62,0.0856
1742,Japan,1994,9.75,0.645,7810,7510,0.0466,0.186,0.0,2.1,0.0
1743,Kazakhstan,1994,10.7,2.11,4170,4330,0.049,0,0.175,0.769,1.27
1744,South Korea,1994,7.69,0.592,4090,3500,0.00455,0.114,0.0,1.94,0.0
1745,Kuwait,1994,33.3,0,13.7k,12.8k,0,0,2.94,4.13,62.3
1746,Sri Lanka,1994,0.301,20µ,242,200,0.0194,0,0.0,0.0944,0.0
1747,Lithuania,1994,4.32,0.0842,2740,2500,0.0106,0.181,0.0,0.964,0.0
1748,Luxembourg,1994,28.7,2.18,2850,13.7k,0.0184,0,0.0,4.68,0.0
1749,Latvia,1994,4.05,0.148,1750,1970,0.112,0,0.0,0.816,0.0
1750,Morocco,1994,1.09,0.0507,431,428,0.00272,0,0.0,0.271,0.0
1751,Mexico,1994,3.9,0.0499,1620,1430,0.019,0.00402,0.279,0.904,1.71
1752,North Macedonia,1994,5.2,0.699,3000,2710,0.0306,0,0.0,0.437,0.0
1753,Malaysia,1994,4.66,0.0762,1990,1820,0.0278,0,1.1,0.903,1.56
1754,Netherlands,1994,11.2,0.561,5180,5640,0.00056,0.0223,3.9,2.31,0.0
1755,Norway,1994,8.78,0.204,26.1k,24.2k,2.21,0,5.28,2.07,29.6
1756,New Zealand,1994,7.7,0.323,9620,8930,0.613,0,0.0,1.42,0.0
1757,Oman,1994,7.01,10µ,2880,2520,0,0,1.09,1.16,18.8
1758,Pakistan,1994,0.699,0.0182,481,320,0.0158,0.00035,0.0907,0.12,0.0
1759,Peru,1994,0.97,0.0149,665,525,0.0468,0,0.0144,0.268,0.28
1760,Philippines,1994,0.794,0.0172,447,380,0.00745,0,0.0,0.218,0.0
1761,Poland,1994,9.4,1.8,3530,2990,0.00388,0,0.0807,0.386,0.0
1762,Portugal,1994,5.07,0.341,3120,2870,0.0909,0,0.0,1.22,0.0
1763,Qatar,1994,60.6,0,11.5k,10.9k,0,0,15.2,3.28,42.1
1764,Romania,1994,5.28,0.442,2390,2230,0.0492,0,0.641,0.487,0.302
1765,Russia,1994,11.1,0.835,5900,5190,0.101,0.0565,3.24,1.17,2.14
1766,Saudi Arabia,1994,16.9,0,5820,4790,0,0,1.92,3.46,23.7
1767,Singapore,1994,18.0,0.00718,6050,5840,0,0,0.0,8.97,0.0
1768,Slovak Republic,1994,8.18,1.02,4790,4580,0.0699,0.202,0.0,0.624,0.0
1769,Slovenia,1994,7.34,0.666,6460,5240,0.149,0.202,0.0,1.02,0.0
1770,Sweden,1994,6.8,0.316,16.3k,15.3k,0.578,0.716,0.0,2.05,0.0
1771,Thailand,1994,2.29,0.107,1210,1110,0.00656,0,0.162,0.53,0.058
1772,Turkmenistan,1994,8.13,0.00122,2560,1660,80µ,0,6.76,0.695,1.02
1773,Trinidad and Tobago,1994,13.9,0,3260,2770,0,0,4.73,0.895,5.41
1774,Turkey,1994,2.91,0.275,1360,1130,0.0454,0,0.0,0.449,0.0
1775,Ukraine,1994,8.2,1.01,3970,3480,0.0203,0.115,0.29,0.39,0.0
1776,USA,1994,20.5,1.82,13.2k,12.5k,0.0858,0.222,1.67,3.03,1.48
1777,Uzbekistan,1994,4.84,0.0483,2140,1920,0.0274,0,1.64,0.354,0.247
1778,Venezuela,1994,6.04,0.00258,3320,2650,0.204,0,1.1,1.1,6.73
1779,Vietnam,1994,0.354,0.0312,167,131,0.0109,0,0.00282,0.0592,0.0964
1780,South Africa,1994,8.36,1.69,4480,3810,0.00228,0.0206,0.0,0.463,0.0
1781,UAE,1995,29.0,0,10.3k,9330,0,0,10.9,8.63,47.4
1782,Argentina,1995,3.67,0.0183,1930,1640,0.0662,0.0174,0.6,0.583,1.08
1783,Australia,1995,17.0,2.31,9740,9030,0.0754,0,1.41,2.03,1.48
1784,Austria,1995,8.05,0.434,7080,6340,0.402,0,0.0,1.42,0.0
1785,Azerbaijan,1995,4.29,0.00039,2190,1950,0.0172,0,0.712,0.846,1.18
1786,Belgium,1995,12.4,0.869,7300,7380,0.00288,0.353,0.0,2.74,0.0
1787,Bangladesh,1995,0.183,0.00279,93.8,76.5,0.00027,0,0.0503,0.0255,0.0
1788,Bulgaria,1995,6.88,0.913,4990,4210,0.0238,0.178,0.0,0.741,0.0
1789,Belarus,1995,5.76,0.0945,2470,2790,0.00017,0,0.0,1.07,0.0
1790,Brazil,1995,1.58,0.0731,1700,1620,0.135,0.00134,0.0278,0.444,0.231
1791,Canada,1995,17.0,0.903,19.1k,16.5k,0.986,0.287,4.5,2.78,3.84
1792,Switzerland,1995,6.21,0.0272,8990,7280,0.431,0.305,0.0,1.69,0.0
1793,Chile,1995,2.86,0.165,1950,1740,0.11,0,0.0,0.713,0.0
1794,China,1995,2.63,0.536,812,770,0.0135,0.00091,0.0125,0.129,0.12
1795,Colombia,1995,1.62,0.0991,1300,932,0.0759,0,0.0995,0.336,0.852
1796,Cyprus,1995,6.88,0.125,2920,2760,0,0,0.0,2.4,0.0
1797,Czech Republic,1995,12.7,2.26,5870,5470,0.0167,0.102,0.0,0.771,0.0
1798,Germany,1995,11.6,1.12,6620,6330,0.0229,0.161,0.178,1.67,0.0
1799,Denmark,1995,11.8,1.24,7010,6420,0.00049,0,0.905,2.02,1.73
1800,Algeria,1995,3.31,0.0216,686,565,0.00059,0,1.84,0.293,1.94
1801,Ecuador,1995,1.98,0,736,547,0.039,0,0.0,0.558,1.83
1802,Egypt,1995,1.52,0.0111,813,724,0.0158,0,0.166,0.373,0.747
1803,Spain,1995,6.72,0.477,4200,3920,0.0504,0.121,0.0,1.45,0.0
1804,Estonia,1995,12.7,2.2,6070,4240,0.00012,0,0.0,0.908,0.0
1805,Finland,1995,11.4,1.15,12.6k,13.6k,0.218,0.324,0.0,1.97,0.0
1806,France,1995,6.88,0.254,8550,6620,0.108,0.561,0.0,1.54,0.0
1807,UK,1995,9.79,0.819,5820,5580,0.00717,0.132,1.1,1.42,2.24
1808,Greece,1995,8.1,0.752,3870,3710,0.0284,0,0.0,1.68,0.0
1809,"Hong Kong, China",1995,5.14,0.921,4590,4850,0,0,0.0,1.57,0.0
1810,Croatia,1995,3.67,0.0379,2010,2310,0.097,0,0.0,0.849,0.0
1811,Hungary,1995,5.96,0.42,3290,3070,0.00136,0.117,0.0,0.739,0.0
1812,Indonesia,1995,1.15,0.0275,275,262,0.00325,0,0.269,0.211,0.388
1813,India,1995,0.843,0.146,443,359,0.00647,0.00071,0.0161,0.0778,0.038
1814,Ireland,1995,9.98,0.824,4970,4530,0.017,0,0.0,1.59,0.0
1815,Iran,1995,4.42,0.0168,1370,1200,0.0105,0,0.446,1.02,3.02
1816,Iraq,1995,3.68,0,1320,1370,0.00242,0,0.129,1.36,1.29
1817,Iceland,1995,9.22,0.237,18.6k,17.4k,1.5,0,0.0,2.61,0.0
1818,Israel,1995,9.47,0.783,5770,5130,0.0004,0,0.0,2.35,0.0
1819,Italy,1995,7.9,0.212,4220,4600,0.057,0,0.286,1.67,0.0916
1820,Japan,1995,9.82,0.667,8000,7690,0.0567,0.201,0.0,2.13,0.0
1821,Kazakhstan,1995,10.3,1.72,4210,4040,0.045,0,0.223,0.756,1.3
1822,South Korea,1995,8.26,0.607,4490,3880,0.00531,0.129,0.0,2.09,0.0
1823,Kuwait,1995,34.0,0,14.8k,12.8k,0,0,4.72,4.41,65.3
1824,Sri Lanka,1995,0.319,50µ,263,216,0.021,0,0.0,0.101,0.0
1825,Lithuania,1995,4.14,0.0677,3820,2540,0.00884,0.28,0.0,0.875,0.0
1826,Luxembourg,1995,22.5,1.21,3010,14.9k,0.0186,0,0.0,4.32,0.0
1827,Latvia,1995,3.63,0.107,1590,2000,0.101,0,0.0,0.745,0.0
1828,Morocco,1995,1.1,0.0605,448,438,0.00195,0,0.0,0.253,0.0
1829,Mexico,1995,3.62,0.0546,1640,1450,0.0256,0.00787,0.274,0.827,1.64
1830,North Macedonia,1995,5.39,0.721,3090,2800,0.0351,0,0.0,0.408,0.0
1831,Malaysia,1995,5.86,0.0814,2270,2040,0.0258,0,1.19,0.921,1.63
1832,Netherlands,1995,11.2,0.576,5240,5720,0.00049,0.0224,3.93,2.42,0.0
1833,Norway,1995,8.87,0.221,28.2k,24.5k,2.4,0,5.44,2.03,31.7
1834,New Zealand,1995,7.63,0.32,9810,9110,0.644,0,0.0,1.52,0.0
1835,Oman,1995,7.14,0,2950,2620,0,0,1.49,1.24,19.4
1836,Pakistan,1995,0.676,0.0179,515,330,0.0157,0.00033,0.0905,0.127,0.0
1837,Peru,1995,0.975,0.0154,695,537,0.0463,0,0.0137,0.299,0.263
1838,Philippines,1995,0.86,0.0203,481,402,0.00774,0,0.0,0.241,0.0
1839,Poland,1995,9.43,1.83,3610,3060,0.00423,0,0.0824,0.388,0.0
1840,Portugal,1995,5.44,0.416,3300,3080,0.0708,0,0.0,1.38,0.0
1841,Qatar,1995,61.8,0,11.7k,10.7k,0,0,15.6,3.4,42.5
1842,Romania,1995,5.53,0.46,2580,2330,0.0633,0,0.629,0.588,0.303
1843,Russia,1995,10.9,0.805,5800,5100,0.101,0.0575,3.14,1.02,2.1
1844,Saudi Arabia,1995,12.6,0,5900,4860,0,0,1.88,3.23,23.1
1845,Singapore,1995,11.9,0.00325,6260,6070,0,0,0.0,9.07,0.0
1846,Slovak Republic,1995,8.24,1.01,4980,4930,0.0781,0.183,0.0,0.603,0.0
1847,Slovenia,1995,7.67,0.692,6490,5310,0.142,0.209,0.0,1.1,0.0
1848,Sweden,1995,6.7,0.315,16.8k,15.5k,0.663,0.681,0.0,1.93,0.0
1849,Thailand,1995,2.64,0.121,1340,1250,0.00967,0,0.17,0.571,0.0558
1850,Turkmenistan,1995,8.07,0.00119,2350,1560,80µ,0,5.96,0.625,0.967
1851,Trinidad and Tobago,1995,13.5,0,3430,2980,0,0,5.06,1.02,5.37
1852,Turkey,1995,3.1,0.283,1470,1210,0.0519,0,0.0,0.496,0.0
1853,Ukraine,1995,7.67,1,3810,3350,0.0167,0.119,0.271,0.374,0.0
1854,USA,1995,20.5,1.81,13.5k,12.7k,0.101,0.231,1.63,2.99,1.45
1855,Uzbekistan,1995,4.53,0.0391,2080,1840,0.0232,0,1.64,0.293,0.333
1856,Venezuela,1995,6.06,0.00023,3350,2630,0.201,0,1.2,1.03,7.08
1857,Vietnam,1995,0.381,0.0413,196,155,0.0123,0,0.00161,0.064,0.102
1858,South Africa,1995,8.74,1.72,4500,3920,0.0011,0.0235,0.0,0.484,0.0
1859,UAE,1996,28.7,0,10.5k,9390,0,0,11.2,7.94,46.0
1860,Argentina,1996,3.82,0.019,1980,1720,0.0558,0.0182,0.686,0.599,1.16
1861,Australia,1996,17.2,2.38,9900,9150,0.0723,0,1.4,2.03,1.54
1862,Austria,1996,8.45,0.434,6840,6610,0.37,0,0.0,1.46,0.0
1863,Azerbaijan,1996,3.98,0.00038,2170,1850,0.0169,0,0.627,0.756,1.16
1864,Belgium,1996,12.7,0.83,7450,7530,0.00203,0.369,0.0,2.97,0.0
1865,Bangladesh,1996,0.183,0.0015,97.5,80.4,0.00053,0,0.0529,0.0254,0.0
1866,Bulgaria,1996,7.0,0.919,5150,4350,0.0303,0.188,0.0,0.699,0.0
1867,Belarus,1996,5.9,0.115,2360,2810,0.00013,0,0.0,1.05,0.0
1868,Brazil,1996,1.71,0.0742,1770,1670,0.139,0.00127,0.0299,0.466,0.258
1869,Canada,1996,17.3,0.913,19.4k,16.6k,1.03,0.27,4.49,2.83,3.92
1870,Switzerland,1996,6.27,0.0202,8150,7390,0.35,0.306,0.0,1.74,0.0
1871,Chile,1996,3.27,0.225,2110,1920,0.099,0,0.0,0.747,0.0
1872,China,1996,2.73,0.556,864,821,0.0132,0.00101,0.0139,0.14,0.127
1873,Colombia,1996,1.61,0.0755,1300,922,0.0822,0,0.105,0.34,0.9
1874,Cyprus,1996,7.14,0.114,2990,2800,0,0,0.0,2.41,0.0
1875,Czech Republic,1996,13.0,2.26,6210,5730,0.0164,0.107,0.0,0.806,0.0
1876,Germany,1996,11.8,1.11,6800,6400,0.023,0.167,0.193,1.69,0.0
1877,Denmark,1996,14.3,1.7,10.2k,6650,0.00031,0,1.1,2.19,1.93
1878,Algeria,1996,3.31,0.00998,706,576,0.0004,0,1.92,0.275,2.02
1879,Ecuador,1996,2.05,0,827,608,0.0471,0,0.0,0.614,1.79
1880,Egypt,1996,1.47,0.015,842,779,0.0157,0,0.173,0.387,0.709
1881,Spain,1996,6.39,0.402,4370,4010,0.0866,0.123,0.0,1.49,0.0
1882,Estonia,1996,13.4,2.31,6420,4560,0.00012,0,0.0,0.979,0.0
1883,Finland,1996,12.5,1.37,13.4k,13.7k,0.199,0.327,0.0,2.04,0.0
1884,France,1996,7.13,0.269,8850,6900,0.0979,0.589,0.0,1.56,0.0
1885,UK,1996,10.1,0.763,6040,5820,0.00502,0.14,1.3,1.45,2.23
1886,Greece,1996,8.23,0.725,3930,3830,0.0348,0,0.0,1.74,0.0
1887,"Hong Kong, China",1996,4.68,0.673,4600,4920,0,0,0.0,1.52,0.0
1888,Croatia,1996,3.83,0.0313,2440,2410,0.134,0,0.0,0.812,0.0
1889,Hungary,1996,6.12,0.415,3400,3160,0.00173,0.118,0.0,0.681,0.0
1890,Indonesia,1996,1.28,0.0323,294,295,0.00347,0,0.279,0.221,0.384
1891,India,1996,0.895,0.147,451,359,0.00603,0.00079,0.0173,0.0823,0.0354
1892,Ireland,1996,10.3,0.823,5290,4790,0.0171,0,0.0,1.66,0.0
1893,Iran,1996,4.4,0.0173,1440,1290,0.0104,0,0.517,1.05,3.0
1894,Iraq,1996,3.34,0,1250,1320,0.00234,0,0.127,1.37,1.37
1895,Iceland,1996,9.34,0.232,18.9k,17.4k,1.52,0,0.0,2.89,0.0
1896,Israel,1996,9.58,0.923,6000,5340,0.00038,0,0.0,2.28,0.0
1897,Italy,1996,7.79,0.195,4280,4660,0.0635,0,0.287,1.65,0.0955
1898,Japan,1996,9.89,0.683,8130,7840,0.0555,0.208,0.0,2.14,0.0
1899,Kazakhstan,1996,9.54,1.56,3760,3640,0.0401,0,0.196,0.651,1.47
1900,South Korea,1996,8.78,0.702,4940,4280,0.00464,0.141,0.0,2.22,0.0
1901,Kuwait,1996,30.7,0,15.7k,13.3k,0,0,4.67,4.25,64.6
1902,Sri Lanka,1996,0.38,10µ,247,204,0.0152,0,0.0,0.123,0.0
1903,Lithuania,1996,4.35,0.0626,4660,2740,0.00778,0.333,0.0,0.914,0.0
1904,Luxembourg,1996,22.3,1.12,3030,14.6k,0.0125,0,0.0,4.41,0.0
1905,Latvia,1996,3.7,0.101,1260,1990,0.0649,0,0.0,0.795,0.0
1906,Morocco,1996,1.11,0.0763,458,440,0.00616,0,0.0,0.234,0.0
1907,Mexico,1996,3.72,0.0617,1680,1470,0.0288,0.00722,0.284,0.833,1.74
1908,North Macedonia,1996,5.9,0.695,3340,2910,0.037,0,0.0,0.62,0.0
1909,Malaysia,1996,5.9,0.0797,2540,2220,0.021,0,1.48,0.982,1.61
1910,Netherlands,1996,11.7,0.552,5480,5910,0.00044,0.0231,4.43,2.41,0.0
1911,Norway,1996,9.53,0.219,23.8k,24k,2.04,0,7.26,2.17,35.2
1912,New Zealand,1996,7.89,0.311,9810,9070,0.606,0,0.0,1.53,0.0
1913,Oman,1996,6.66,0,3040,2650,0,0,1.59,1.18,19.8
1914,Pakistan,1996,0.735,0.0176,531,330,0.0137,0.00023,0.0956,0.129,0.0
1915,Peru,1996,0.978,0.0158,698,578,0.0472,0,0.0136,0.304,0.255
1916,Philippines,1996,0.859,0.0276,514,431,0.00853,0,0.0,0.246,0.0
1917,Poland,1996,9.78,1.87,3720,3160,0.00432,0,0.0815,0.454,0.0
1918,Portugal,1996,5.15,0.387,3410,3200,0.125,0,0.0,1.3,0.0
1919,Qatar,1996,61.7,0,12.7k,11.7k,0,0,16.0,3.54,51.9
1920,Romania,1996,5.71,0.463,2690,2430,0.06,0.00528,0.604,0.569,0.3
1921,Russia,1996,10.7,0.792,5720,5020,0.0888,0.0631,3.21,0.875,2.05
1922,Saudi Arabia,1996,13.6,0,5890,4870,0,0,1.91,3.27,23.0
1923,Singapore,1996,13.6,80µ,6570,6310,0,0,0.0,8.87,0.0
1924,Slovak Republic,1996,8.2,0.995,4780,5150,0.0675,0.18,0.0,0.631,0.0
1925,Slovenia,1996,8.01,0.64,6410,5370,0.16,0.203,0.0,1.28,0.0
1926,Sweden,1996,7.13,0.348,15.9k,15.4k,0.503,0.722,0.0,2.07,0.0
1927,Thailand,1996,2.89,0.145,1450,1380,0.0105,0,0.194,0.623,0.0628
1928,Turkmenistan,1996,7.14,0.0107,2360,1430,0.0001,0,6.37,0.713,1.02
1929,Trinidad and Tobago,1996,16.3,0,3610,3110,0,0,5.7,1.19,5.31
1930,Turkey,1996,3.36,0.313,1600,1310,0.0582,0,0.0,0.51,0.0
1931,Ukraine,1996,6.95,0.759,3620,3060,0.0146,0.135,0.276,0.283,0.0
1932,USA,1996,21.0,1.87,13.7k,12.9k,0.112,0.228,1.63,3.06,1.42
1933,Uzbekistan,1996,4.57,0.0359,1960,1830,0.024,0,1.64,0.284,0.328
1934,Venezuela,1996,5.47,0.00072,3380,2650,0.206,0,1.27,0.811,7.38
1935,Vietnam,1996,0.448,0.0455,223,183,0.0138,0,0.00313,0.0726,0.116
1936,South Africa,1996,8.62,1.71,4740,4450,0.00269,0.024,0.0,0.489,0.0
1937,UAE,1997,27.4,0,10.7k,9660,0,0,11.4,7.68,43.9
1938,Argentina,1997,3.86,0.0148,2030,1840,0.0674,0.0192,0.642,0.592,1.22
1939,Australia,1997,17.5,2.48,10.3k,9340,0.0766,0,1.39,2.05,1.62
1940,Austria,1997,8.41,0.46,7080,6620,0.389,0,0.0,1.48,0.0
1941,Azerbaijan,1997,3.76,0.00038,2120,1810,0.0186,0,0.592,0.712,1.14
1942,Belgium,1997,12.1,0.773,7710,7700,0.00259,0.403,0.0,3.03,0.0
1943,Bangladesh,1997,0.193,0.00269,98.7,82.5,0.00051,0,0.0509,0.0285,0.0
1944,Bulgaria,1997,6.78,1.06,5210,3970,0.0289,0.186,0.0,0.549,0.0
1945,Belarus,1997,6.25,0.122,2600,2950,0.00018,0,0.0,0.919,0.0
1946,Brazil,1997,1.78,0.0735,1840,1750,0.144,0.00163,0.032,0.492,0.273
1947,Canada,1997,17.6,0.945,19.2k,16.7k,1.01,0.238,4.62,2.91,4.06
1948,Switzerland,1997,6.09,0.0155,8900,7340,0.413,0.308,0.0,1.82,0.0
1949,Chile,1997,3.75,0.29,2250,2070,0.11,0,0.0,0.791,0.0
1950,China,1997,2.71,0.54,900,853,0.0136,0.001,0.0156,0.152,0.127
1951,Colombia,1997,1.71,0.0878,1320,928,0.0716,0,0.129,0.34,0.923
1952,Cyprus,1997,7.1,0.0853,3060,2850,0,0,0.0,2.41,0.0
1953,Czech Republic,1997,12.7,2.13,6250,5660,0.0142,0.104,0.0,0.767,0.0
1954,Germany,1997,11.5,1.07,6790,6430,0.0181,0.178,0.189,1.68,0.0
1955,Denmark,1997,12.4,1.26,8400,6610,0.00031,0,1.33,2.1,2.12
1956,Algeria,1997,2.93,0.0172,723,581,0.00022,0,2.16,0.269,2.07
1957,Ecuador,1997,1.52,0,867,653,0.0477,0,0.0,0.687,1.76
1958,Egypt,1997,1.66,0.0124,875,816,0.016,0,0.173,0.4,0.675
1959,Spain,1997,6.68,0.458,4760,4320,0.0755,0.12,0.0,1.54,0.0
1960,Estonia,1997,13.1,2.3,6540,4810,0.00018,0,0.0,0.976,0.0
1961,Finland,1997,12.2,1.29,13.4k,14.5k,0.205,0.35,0.0,2.01,0.0
1962,France,1997,6.98,0.235,8670,6830,0.0941,0.584,0.0,1.57,0.0
1963,UK,1997,9.65,0.679,6010,5830,0.00615,0.145,1.33,1.4,2.19
1964,Greece,1997,8.61,0.776,3990,3990,0.0308,0,0.0,1.74,0.0
1965,"Hong Kong, China",1997,4.84,0.558,4590,4970,0,0,0.0,1.47,0.0
1966,Croatia,1997,4.1,0.0537,2260,2610,0.0983,0,0.0,0.879,0.0
1967,Hungary,1997,6.0,0.398,3430,3190,0.0018,0.117,0.0,0.687,0.0
1968,Indonesia,1997,1.39,0.0393,349,328,0.00214,0,0.283,0.241,0.373
1969,India,1997,0.915,0.151,469,375,0.00642,0.00087,0.0184,0.0862,0.0355
1970,Ireland,1997,10.6,0.777,5470,4980,0.0159,0,0.0,1.8,0.0
1971,Iran,1997,4.23,0.0175,1540,1340,0.00962,0,0.536,1.07,2.96
1972,Iraq,1997,3.18,0,1250,1310,0.0023,0,0.116,1.61,2.67
1973,Iceland,1997,9.6,0.239,20.5k,19k,1.64,0,0.0,2.81,0.0
1974,Israel,1997,9.86,0.978,6310,5490,0.00038,0,0.0,2.1,0.0
1975,Italy,1997,7.89,0.199,4420,4790,0.0629,0,0.279,1.66,0.105
1976,Japan,1997,9.82,0.7,8310,7990,0.0617,0.219,0.0,2.1,0.0
1977,Kazakhstan,1997,9.1,1.36,3380,3170,0.0361,0,0.323,0.664,1.67
1978,South Korea,1997,9.27,0.756,5340,4650,0.00535,0.147,0.0,2.41,0.0
1979,Kuwait,1997,32.0,0,15.6k,13.5k,0,0,4.43,4.39,61.5
1980,Sri Lanka,1997,0.407,0,278,230,0.0161,0,0.0,0.133,0.0
1981,Lithuania,1997,4.21,0.0509,4150,2730,0.00711,0.289,0.0,0.911,0.0
1982,Luxembourg,1997,20.4,0.703,3000,15.1k,0.017,0,0.0,4.54,0.0
1983,Latvia,1997,3.53,0.0912,1840,2060,0.104,0,0.0,0.711,0.0
1984,Morocco,1997,1.12,0.0717,490,457,0.00646,0,0.0,0.246,0.0
1985,Mexico,1997,3.9,0.0608,1760,1550,0.0238,0.00942,0.283,0.849,1.79
1986,North Macedonia,1997,5.32,0.647,3370,3000,0.039,0,0.0,0.516,0.0
1987,Malaysia,1997,5.74,0.0752,2780,2510,0.0153,0,1.65,1.11,1.55
1988,Netherlands,1997,11.2,0.534,5540,6070,0.00051,0.0133,3.9,2.49,0.0
1989,Norway,1997,9.49,0.216,25.3k,24.3k,2.14,0,8.29,2.19,35.3
1990,New Zealand,1997,8.35,0.333,9890,9090,0.533,0,0.0,1.59,0.0
1991,Oman,1997,6.78,10µ,3250,2790,0,0,1.79,1.02,20.0
1992,Pakistan,1997,0.716,0.016,477,332,0.0141,0.00024,0.0926,0.13,0.0
1993,Peru,1997,1.08,0.0162,712,594,0.046,0,0.00791,0.309,0.248
1994,Philippines,1997,0.96,0.0334,545,464,0.0072,0,0.0,0.258,0.0
1995,Poland,1997,9.55,1.82,3700,3210,0.00439,0,0.0831,0.472,0.0
1996,Portugal,1997,5.43,0.35,3360,3350,0.11,0,0.0,1.4,0.0
1997,Qatar,1997,69.9,0,12.9k,11.7k,0,0,21.5,3.66,62.2
1998,Romania,1997,5.44,0.424,2520,2250,0.067,0.0207,0.526,0.603,0.298
1999,Russia,1997,9.99,0.731,5650,4940,0.0909,0.063,3.05,0.869,2.08
2000,Saudi Arabia,1997,11.1,0,6140,4990,0,0,1.91,3.26,22.3
2001,Singapore,1997,15.5,0,7120,6830,0,0,0.0,9.05,0.0
2002,Slovak Republic,1997,8.22,0.933,4700,5070,0.0648,0.177,0.0,0.629,0.0
2003,Slovenia,1997,8.18,0.71,6630,5430,0.135,0.218,0.0,1.28,0.0
2004,Sweden,1997,6.55,0.297,16.8k,15.4k,0.671,0.679,0.0,1.93,0.0
2005,Thailand,1997,2.95,0.148,1520,1410,0.0102,0,0.236,0.619,0.0705
2006,Turkmenistan,1997,7.02,0,2180,1170,0.0001,0,3.08,0.686,1.23
2007,Trinidad and Tobago,1997,14.6,0,3960,3480,0,0,6.17,0.673,5.11
2008,Turkey,1997,3.51,0.344,1710,1420,0.0563,0,0.0,0.494,0.0
2009,Ukraine,1997,6.79,0.746,3550,2960,0.0168,0.136,0.282,0.277,0.0
2010,USA,1997,21.0,1.89,13.7k,12.9k,0.105,0.21,1.62,3.06,1.4
2011,Uzbekistan,1997,4.53,0.035,1950,1820,0.0209,0,1.65,0.296,0.334
2012,Venezuela,1997,5.85,0.0015,3420,2680,0.214,0,1.29,0.861,7.51
2013,Vietnam,1997,0.575,0.0576,248,206,0.0132,0,0.00571,0.0817,0.131
2014,South Africa,1997,8.98,1.72,4890,4570,0.0042,0.0254,0.0,0.489,0.0
2015,UAE,1998,28.7,0,11.9k,10.8k,0,0,11.0,7.25,43.2
2016,Argentina,1998,3.87,0.0196,2060,1960,0.0629,0.0177,0.686,0.599,1.22
2017,Australia,1998,18.0,2.56,10.7k,9840,0.0706,0,1.4,2.02,1.52
2018,Austria,1998,8.35,0.405,7140,6710,0.401,0,0.0,1.54,0.0
2019,Azerbaijan,1998,3.97,0,2250,1940,0.021,0,0.548,0.744,1.43
2020,Belgium,1998,12.7,0.768,8130,7910,0.0033,0.392,0.0,3.07,0.0
2021,Bangladesh,1998,0.189,0.00076,105,87.6,0.0006,0,0.0539,0.0309,0.0
2022,Bulgaria,1998,6.54,1.02,5130,3930,0.0328,0.179,0.0,0.587,0.0
2023,Belarus,1998,5.96,0.108,2360,3020,0.00024,0,0.0,0.872,0.0
2024,Brazil,1998,1.82,0.0709,1900,1800,0.148,0.00166,0.033,0.505,0.31
2025,Canada,1998,17.8,1,18.7k,16.4k,0.948,0.204,4.74,2.95,4.17
2026,Switzerland,1998,6.3,0.0128,8920,7480,0.405,0.312,0.0,1.83,0.0
2027,Chile,1998,3.8,0.269,2370,2170,0.0912,0,0.0,0.799,0.0
2028,China,1998,2.57,0.532,917,871,0.0143,0.00097,0.0159,0.155,0.126
2029,Colombia,1998,1.7,0.0822,1310,904,0.0689,0,0.145,0.326,1.05
2030,Cyprus,1998,7.28,0.0154,3290,3080,0,0,0.0,2.58,0.0
2031,Czech Republic,1998,12.1,1.97,6290,5600,0.0117,0.11,0.0,0.796,0.0
2032,Germany,1998,11.4,1.05,6850,6480,0.018,0.169,0.185,1.68,0.0
2033,Denmark,1998,11.6,1.06,7760,6500,0.00044,0,1.28,2.02,2.19
2034,Algeria,1998,3.53,0.0181,770,624,0.00062,0,2.28,0.272,2.03
2035,Ecuador,1998,1.83,0,893,686,0.0468,0,0.0,0.678,1.68
2036,Egypt,1998,1.84,0.012,917,856,0.0161,0,0.175,0.413,0.649
2037,Spain,1998,6.86,0.435,4860,4480,0.0736,0.128,0.0,1.66,0.0
2038,Estonia,1998,12.0,2.09,6060,4730,0.00025,0,0.0,0.974,0.0
2039,Finland,1998,11.5,1.06,13.6k,14.8k,0.251,0.365,0.0,2.1,0.0
2040,France,1998,7.29,0.278,8750,7010,0.0913,0.57,0.0,1.62,0.0
2041,UK,1998,9.71,0.659,6200,5910,0.00752,0.146,1.39,1.39,2.27
