,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g,country_Australia,country_Austria,country_Bangladesh,country_Belgium,country_Bulgaria,country_Canada,country_Denmark,country_Egypt,country_Finland,country_France,country_Germany,country_Greece,country_Hungary,country_Iceland,country_Indonesia,country_Ireland,country_Italy,country_Luxembourg,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_Switzerland,country_UK,country_USA,country_Venezuela,country_infrequent_sklearn
1933,-0.6051364130750123,-0.334885570087328,-0.5375345515733253,-0.27215894141741476,-0.4034042857537125,0.12543122119880634,-0.8054945388175803,-0.23133842197174856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
730,-0.6491486343594782,-0.6812088491748205,-0.5965104491486545,-0.34118170356293953,-0.4034042857537125,-0.12296096437607042,1.6002249594771796,2.997806656850872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1652,0.2923941496647499,-0.03627008964964314,-0.22743547722562657,-0.2874014680578848,-0.4034042857537125,-0.27512254904976585,0.12290594277114243,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2767,-0.24335350218236945,0.03617508607784253,-0.2711917883299031,-0.28193716605469743,-0.4034042857537125,0.2573208772562631,-0.19916360589462875,-0.17523969264791572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3059,-0.3132336306841676,-0.03803704515519157,-0.14372775163483673,-0.33565988259129753,0.8436677201831476,-0.27512254904976585,-0.5149317938256347,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,-0.5541361789403666,-0.3454873031206186,-0.529924758337799,-0.0757316641449421,-0.4034042857537125,-0.27512254904976585,-0.3636991361912726,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2162,-0.6491486343594782,-0.33135165907623115,-0.6193398288552335,-0.3408941087206665,-0.4034042857537125,0.69206826203825,-0.3475956587579841,-0.1551609717402532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1852,-0.30219992618388375,-0.42146638985920115,-0.6554863467239838,-0.19191998042324215,-0.4034042857537125,-0.27512254904976585,-0.6570624859542249,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1681,-0.6340692382090902,-0.5693605656736048,-0.787706504191254,-0.2140647832782647,-0.4034042857537125,-0.27170318759642437,-0.8285995281783856,-0.234076429368248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,-0.5649246900073109,-0.6812088491748205,-0.776862548830629,-0.18703086810460084,-0.4034042857537125,-0.27512254904976585,-0.7718872815654998,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
